代码,基金名,四分位,夏普率,标准差,同类排名,阶段涨幅,总分
001643,汇丰晋信智造先锋股票A,9.0,2.835,9.312,16.443,28.416,66.0072303361449
003834,华夏能源革新股票,9.0,2.442,10.349,16.807,26.893,65.491935924304
001644,汇丰晋信智造先锋股票C,9.0,2.817,9.311,16.418,27.884,65.42943780691934
005968,创金合信工业周期股票A,8.6,2.84,8.85,16.242,26.279,62.81183160984743
005885,金鹰信息产业股票C,9.0,2.452,9.466,16.634,24.724,62.276698242144604
005969,创金合信工业周期股票C,8.6,2.81,8.85,16.16,25.58,62.00044792501173
000828,泰达转型机遇,9.0,2.568,9.704,16.897,23.592,61.76039014112857
004812,中欧先进制造股票A,9.6,2.632,8.596,17.16,22.693,60.68187790276804
003853,金鹰信息产业股票A,9.0,2.47,9.466,16.658,22.954,60.548086429858074
004813,中欧先进制造股票C,9.6,2.615,8.598,16.87,22.378,60.0617709118951
540008,汇丰晋信低碳先锋股票,9.0,2.395,10.065,16.203,22.062,59.724294561428735
004784,招商稳健优选股票,9.6,2.465,8.362,17.578,20.104,58.10798466401582
001790,国泰智能汽车股票A,9.0,2.285,9.66,16.693,19.924,57.56254061867986
005927,创金合信新能源汽车股票A,9.6,2.142,9.378,17.442,18.69,57.25324810047676
005928,创金合信新能源汽车股票C,9.6,2.105,9.378,17.391,18.115,56.588913329808236
004640,华夏节能环保股票,9.2,2.558,8.394,16.293,19.756,56.20060766903867
004925,长信低碳环保行业量化股票,9.6,2.178,8.854,17.393,17.79,55.813815131862064
003984,嘉实新能源新材料股票A,9.0,2.552,8.464,15.765,20.005,55.78668355949682
003985,嘉实新能源新材料股票C,9.0,2.535,8.464,15.704,19.633,55.335958088399416
004851,广发医疗保健股票A,9.2,2.31,8.889,15.971,18.482,54.85307155150037
001054,工银新金融股票,9.4,3.273,6.758,16.493,18.864,54.78759049295872
001476,中银智能制造股票A,9.6,2.505,8.41,16.616,17.608,54.73930401905463
001717,工银前沿医疗股票A,8.4,2.555,8.378,15.06,19.729,54.122186726263664
000409,鹏华环保产业股票,9.4,2.72,8.057,16.424,17.233,53.8335512615579
001171,工银养老产业股票A,9.2,2.495,8.285,16.147,16.97,53.097349079937544
005825,申万菱信智能驱动股票,9.2,2.712,7.316,16.059,17.211,52.49923312766619
001410,信达澳银新能源产业股票,9.2,2.2,8.8,16.035,16.138,52.37295724010974
004075,交银医药创新股票,8.4,2.462,8.268,14.547,18.541,52.21873908975964
001616,嘉实环保低碳股票,9.0,2.47,8.302,15.548,16.868,52.18782265528432
004616,中欧电子信息产业沪港深股票A,9.6,2.12,8.535,16.842,14.422,51.518549644087486
004040,金鹰医疗健康产业A,9.0,2.215,8.731,15.71,15.822,51.47796301167893
001956,国联安科技动力,9.2,1.852,9.952,16.41,13.991,51.40598982154454
001104,华安新丝路主题股票,8.8,2.722,7.82,15.532,16.401,51.275252366460734
004041,金鹰医疗健康产业C,9.0,2.188,8.731,15.639,15.414,50.97150251349365
002168,嘉实智能汽车股票,9.0,2.265,8.62,15.603,15.388,50.8769151974856
005763,中欧电子信息产业沪港深股票C,9.6,2.082,8.534,16.701,13.939,50.85632674261889
001245,工银生态环境股票,8.6,2.672,8.23,15.19,16.137,50.82930918090527
005669,前海开源公用事业股票,9.6,2.092,7.516,16.763,14.467,50.43797365161458
000913,农银医疗保健股票,8.2,2.218,9.552,14.75,15.438,50.15675972187393
005037,银华新能源新材料A,9.2,2.117,8.634,16.351,13.765,50.06771295893506
005038,银华新能源新材料C,9.2,2.09,8.636,16.292,13.463,49.680086354008466
005303,嘉实医药健康股票A,9.4,2.315,7.606,16.055,14.249,49.62513820687672
000831,工银医疗保健股票,8.4,2.318,8.827,14.729,15.335,49.60918933626866
002980,华夏创新前沿股票,9.4,2.372,7.73,15.78,14.27,49.55255957994727
005235,银华食品饮料量化股票发起式A,9.6,2.272,8.058,15.899,13.272,49.10239133947201
001496,工银聚焦30股票,9.6,2.575,7.025,16.207,13.61,49.0171108970063
005236,银华食品饮料量化股票发起式C,9.6,2.25,8.058,15.818,13.022,48.74855646802257
001009,上投摩根安全战略股票,9.6,2.465,7.742,15.666,13.104,48.577212678674705
005304,嘉实医药健康股票C,9.0,2.278,7.607,15.927,13.669,48.47931559013168
001825,建信中国制造2025,9.2,2.512,7.127,16.25,13.21,48.2995620769509
001718,工银物流产业股票,8.6,2.96,6.519,15.453,14.748,48.28034412280053
000592,建信改革红利股票,8.6,2.775,7.343,15.032,14.36,48.110285613843814
001714,工银文体产业股票A,9.2,2.585,7.055,15.371,13.709,47.91986817127231
000991,工银战略转型股票A,7.6,3.287,6.45,14.144,16.237,47.71858038435853
003230,创金合信医疗保健股票A,7.6,2.352,8.311,12.884,16.286,47.43312328821001
519714,交银消费新驱动股票,8.6,2.765,6.868,14.816,14.268,47.316335490427235
001126,上投摩根卓越制造股票,8.4,2.775,7.304,14.266,14.529,47.274552973083296
001072,华安智能装备主题股票,9.6,2.088,7.556,16.381,11.474,47.09901446386235
000696,汇添富环保行业股票,9.0,2.33,7.874,15.752,11.886,46.84099009494809
001043,工银美丽城镇股票A,9.0,2.963,6.383,15.236,13.2,46.78159596497184
003231,创金合信医疗保健股票C,7.6,2.33,8.31,12.74,15.79,46.77006963974226
001766,上投摩根医疗健康股票,8.6,2.288,7.885,14.24,13.533,46.54613376084067
004997,广发高端制造股票A,6.4,2.852,7.798,10.772,18.68,46.50250837497805
003145,中融竞争优势,9.4,2.002,8.483,15.602,10.903,46.39078311507345
002300,长盛医疗行业量化配置股票,8.4,2.068,8.78,14.101,12.935,46.28411349835423
001039,嘉实先进制造股票,9.0,2.592,7.212,14.848,12.46,46.11229696170276
001705,泓德战略转型股票,8.4,2.67,6.774,14.67,12.962,45.475037893264115
001230,鹏华医药科技,8.6,2.247,8.359,14.405,11.839,45.45085640575757
000971,诺安新经济股票,9.4,2.135,7.977,15.001,10.389,44.90190907165024
000729,建信中小盘先锋股票,9.4,2.432,6.857,15.761,10.326,44.7760890602105
206012,鹏华价值精选股票,8.6,2.1,8.318,14.483,11.235,44.73623224540792
001677,中银战略新兴产业股票A,9.2,2.24,7.208,15.342,10.576,44.56631283526734
001236,博时丝路主题股票A,8.8,2.665,6.917,14.592,11.584,44.55780153353152
000985,嘉实逆向策略股票,9.2,2.028,8.387,15.131,9.519,44.26454105983496
000751,嘉实新兴产业股票,8.2,2.425,7.607,13.91,12.083,44.225589253858345
001186,富国文体健康股票A,8.8,2.665,6.436,15.051,11.239,44.19173920758526
002556,博时丝路主题股票C,8.8,2.355,7.308,14.467,11.259,44.18911975127209
005259,建信龙头企业股票,9.0,2.35,7.08,14.623,10.918,43.97016125292961
006265,红土创新新科技股票,8.0,1.438,4.908,17.396,12.191,43.93248994236183
001070,建信信息产业股票,9.2,2.3,7.17,15.182,9.97,43.8221317966389
003069,光大创业板量化优选A,9.6,1.853,7.904,15.471,8.665,43.491899056191926
000793,工银高端制造股票,7.8,2.312,8.445,12.877,11.941,43.37524723732239
000854,鹏华养老产业股票,8.6,2.262,7.855,13.985,10.666,43.36895191660787
005495,创金合信科技成长股票A,8.8,1.728,8.864,14.385,9.564,43.33959409903243
004995,广发品牌消费股票发起式A,8.8,2.13,7.812,14.236,10.346,43.324390027405364
001490,汇添富国企创新股票,8.8,2.392,6.934,14.722,10.441,43.289448444839834
001542,国泰互联网+股票,9.0,1.775,8.686,15.282,8.527,43.27027763379485
000513,富国高端制造行业股票,9.0,2.572,6.911,14.017,10.74,43.24003215314639
005310,广发电子信息传媒股票A,8.8,1.848,8.55,13.83,9.856,42.88308667756849
001396,建信互联网+产业升级股票,9.0,2.075,7.504,15.098,9.176,42.85329281568502
004683,建信高端医疗股票,8.6,1.918,7.969,13.81,10.483,42.77878096162562
005496,创金合信科技成长股票C,8.8,1.698,8.863,14.25,9.137,42.74783841473935
320022,诺安研究精选股票,9.0,2.408,6.752,14.183,10.35,42.69235320197986
001036,嘉实企业变革股票,9.6,1.98,7.592,15.194,8.282,42.646680120229746
162208,泰达宏利首选企业股票,9.2,1.955,8.125,14.043,9.318,42.64021310836414
003190,创金合信消费主题股票A,8.0,2.198,7.708,13.249,11.364,42.51863149840277
000803,工银研究精选股票,7.8,2.75,6.967,12.381,12.413,42.31039325786872
000594,大摩进取优选股票,7.6,2.29,7.618,13.356,10.957,41.82116234869514
001915,宝盈医疗健康沪港深股票,7.2,1.965,8.624,12.324,11.694,41.807569046840904
003191,创金合信消费主题股票C,8.0,2.16,7.707,13.068,10.873,41.80712331429132
001473,建信大安全战略精选股票,8.4,2.848,5.828,14.062,10.63,41.76779280897493
000960,招商医药健康产业股票,6.8,2.212,8.954,11.629,12.164,41.76047309368933
002861,工银智能制造股票,8.6,2.05,7.818,13.635,9.624,41.72764662646568
001158,工银新材料新能源股票,7.8,2.442,7.468,13.532,10.44,41.681503414072225
001166,建信环保产业股票,9.0,2.17,7.385,14.533,8.577,41.66572392139377
399011,中海医疗保健主题股票,8.4,1.835,8.438,14.043,8.941,41.65707366603474
000309,大摩品质生活精选股票,9.6,2.305,6.797,14.658,8.263,41.62340796833205
000780,鹏华医疗保健股票,7.8,2.018,8.776,12.758,10.114,41.46537561938118
001975,景顺长城环保优势股票,9.0,2.242,6.816,13.911,9.292,41.261079940248905
003745,广发多元新兴股票,7.0,1.96,9.084,11.157,11.986,41.186918552969
001167,金鹰科技创新股票,9.2,1.92,7.353,15.363,7.294,41.13008880518958
001605,国富沪港深成长精选股票,8.2,2.382,6.813,13.908,9.787,41.0907990885018
000756,建信潜力新蓝筹股票,9.4,2.185,6.874,14.883,7.734,41.076472646136025
164205,天弘文化新兴产业,8.4,2.22,7.196,13.589,9.657,41.063308329738064
001409,工银互联网加股票,8.4,1.91,8.1,14.032,8.561,41.00282651350927
001195,工银农业产业股票,9.2,2.432,6.478,14.282,8.43,40.82286638144706
001576,国泰智能装备股票A,8.2,1.995,8.276,12.651,9.679,40.80094349419454
000524,上投摩根民生需求股票,8.2,2.23,7.425,13.71,9.136,40.70144132850457
001628,招商体育文化休闲股票,9.2,1.852,7.499,14.804,7.224,40.57903011021762
160127,南方新兴消费增长股票(LOF)A,8.4,2.032,7.708,13.34,8.904,40.38368348519354
001163,银华中国梦30股票,8.0,2.36,7.264,13.054,9.687,40.364175720210156
000711,嘉实医疗保健股票,8.2,2.172,7.747,13.255,8.962,40.33614572409697
003624,创金合信资源股票发起式A,7.2,1.985,8.732,11.891,10.502,40.31083154677638
001749,招商中国机遇股票,8.2,2.152,7.528,12.588,9.693,40.16056700438254
003625,创金合信资源股票发起式C,7.2,1.973,8.73,11.804,10.346,40.0523569666904
005009,申万菱信行业轮动股票,8.6,1.622,9.023,13.744,7.039,40.02813395976837
005268,鹏华优势企业,7.6,2.09,7.932,12.012,10.373,40.006814901738885
000996,中银新动力股票,8.2,2.278,7.472,12.601,9.44,39.991693839219664
000867,华宝品质生活股票,8.8,2.07,7.664,13.631,7.72,39.88479210943067
000746,招商行业精选股票基金,6.8,2.62,7.428,10.603,12.367,39.81819008608918
001938,中欧时代先锋股票A,7.8,2.11,7.632,12.719,9.351,39.61252845121716
004241,中欧时代先锋股票C,7.8,2.072,7.632,12.494,9.606,39.604460746617846
000549,华安大国新经济股票,9.2,1.922,7.434,13.877,7.16,39.593850629345184
000418,景顺长城成长之星股票,7.6,2.315,7.423,12.343,9.28,38.96098354355575
001692,南方国策动力,8.0,2.045,7.489,12.799,8.605,38.938254831156925
519673,银河康乐股票,7.6,2.525,6.376,12.203,10.091,38.795230022120336
001404,招商移动互联网产业股票基金,8.0,1.427,8.85,13.929,6.518,38.725484511255615
005328,前海开源价值策略股票,8.8,1.645,7.748,14.187,6.187,38.566636220173194
006002,工银医药健康股票A,7.8,1.492,4.056,16.496,8.594,38.43923959480316
005267,嘉实价值精选股票,7.6,2.525,6.453,12.478,9.149,38.20531455160193
001736,圆信永丰优加生活,8.0,2.397,6.403,12.744,8.613,38.157513004787525
006003,工银医药健康股票C,7.8,1.475,4.056,16.417,8.323,38.071186665050426
002595,博时工业4.0主题股票,8.4,1.843,7.593,13.084,7.036,37.95649352858916
001726,汇添富新兴消费股票,8.2,1.698,8.308,12.984,6.663,37.85294759334175
160919,大成产业升级股票(LOF),8.6,1.998,7.202,13.065,6.979,37.84422271400078
001645,国泰大健康股票A,7.2,2.062,7.426,11.721,9.37,37.77848710660753
006228,中欧医疗创新股票A,7.6,1.288,4.455,16.524,7.75,37.61618893068737
001008,工银国企改革股票,7.6,2.387,6.966,12.146,8.359,37.458647280277475
001313,上投摩根智慧互联股票,8.0,1.763,8.506,12.597,6.579,37.44481066455219
005802,添富智能制造股票,8.8,1.852,6.584,14.414,5.665,37.3148985083496
003416,招商财经大数据股票A,8.4,1.842,6.634,14.568,5.841,37.28452461824734
006229,中欧医疗创新股票C,7.6,1.265,4.456,16.447,7.426,37.19275455359601
001482,上投摩根新兴服务股票,8.0,1.935,7.584,12.058,7.559,37.136960198236046
001703,银华沪港深增长股票,8.4,1.88,7.558,12.867,6.332,37.036818494429845
004698,博时军工主题股票A,7.4,1.69,9.119,10.927,7.876,37.01192659834583
005962,宝盈人工智能股票A,7.6,1.185,4.564,16.434,7.004,36.78709279935096
004686,华夏研究精选股票,8.0,2.063,6.597,13.327,6.753,36.73903367835715
003053,嘉实文体娱乐股票A,8.0,1.538,8.151,13.614,5.382,36.684924761436804
580008,东吴新产业精选股票A,7.8,2.045,6.912,12.677,6.925,36.35761527016087
005963,宝盈人工智能股票C,7.6,1.17,4.564,16.281,6.68,36.29611082957696
003054,嘉实文体娱乐股票C,8.0,1.515,8.16,13.489,5.119,36.28282552583542
001193,中金消费升级,7.6,2.26,6.926,11.726,7.434,35.945841317513064
006257,信达澳银先进智造股票型,7.6,1.212,4.164,16.221,6.265,35.462060150362035
005612,嘉实核心优势股票发起式,7.6,2.128,6.713,12.081,6.927,35.44897266575893
005402,广发资源优选股票A,6.8,1.855,8.238,10.743,7.492,35.12864636722726
001696,南方智造股票,6.8,2.0,7.369,11.164,7.712,35.04545932021262
001042,华夏领先股票,8.4,1.538,7.52,13.519,4.027,35.00358091343119
001577,嘉实低价策略股票,6.8,2.372,6.582,10.829,8.361,34.943353937366126
000082,嘉实研究阿尔法股票,7.8,2.425,5.914,12.612,6.169,34.919927366787185
002332,汇丰晋信沪港深A,8.0,1.55,8.026,12.907,4.377,34.86088828382911
450009,国富中小盘股票,7.2,2.495,5.782,12.154,7.212,34.843288667990144
005237,银华医疗健康量化优选A,7.2,1.742,7.973,11.408,6.441,34.76482994530299
001781,建信现代服务业股票,7.4,1.863,7.403,11.752,6.333,34.751127322323704
004805,长信消费精选量化股票,7.4,1.885,7.527,11.517,6.4,34.7288215932153
006604,嘉实消费精选股票A,7.4,1.615,3.586,15.72,6.371,34.691963227598805
519965,长信量化多策略股票A,8.2,1.832,6.548,13.338,4.693,34.61179321192431
004476,景顺长城沪港深领先科技,7.0,1.973,7.046,11.227,7.308,34.55392012570992
001028,华安物联网主题股票,7.4,1.79,7.355,12.566,5.405,34.51670576704527
000884,民生加银优选股票,7.4,2.3,6.932,10.592,7.269,34.492789572537795
006605,嘉实消费精选股票C,7.4,1.6,3.587,15.647,6.159,34.39340026095355
002333,汇丰晋信沪港深C,8.0,1.52,8.025,12.713,4.092,34.34963912774969
005238,银华医疗健康量化优选C,7.2,1.713,7.973,11.235,6.221,34.34123414043678
004858,长信量化多策略股票C,8.4,1.757,6.546,13.138,4.412,34.25268634654183
006081,海富通电子传媒股票A,7.6,1.002,4.948,15.902,4.753,34.205524875181794
001877,宝盈国家安全沪港深股票,8.4,1.365,7.767,13.131,3.447,34.109737813434116
001672,国寿安保智慧生活股票,8.0,1.79,7.091,12.15,5.075,34.105565661544716
005983,上投摩根核心精选,7.6,1.602,3.123,16.409,5.261,33.99543138938872
003956,南方教育股票,6.0,1.558,9.256,8.866,8.162,33.84200795328425
006080,海富通电子传媒股票C,7.6,0.985,4.948,15.7,4.497,33.730705949309254
006751,富国互联科技股票A,7.2,1.135,4.576,15.016,5.753,33.68109141951317
001105,信达澳银转型创新股票,8.0,1.745,6.946,12.7,4.118,33.50936930447188
001707,诺安高端制造股票,8.0,1.478,7.911,12.358,3.699,33.44505258059421
000326,南方中小盘成长股票,7.8,2.478,5.394,12.284,5.487,33.44251299325156
000866,华宝制造股票,7.2,2.192,6.454,11.758,5.82,33.4244625923313
005777,广发科技动力股票,7.2,1.803,7.341,10.612,6.361,33.31583200548323
001188,鹏华改革红利股票,8.4,1.59,7.193,12.821,3.274,33.278703490852834
671030,西部利得事件驱动股票,8.0,1.34,3.414,16.571,3.884,33.2092044807722
006692,金信消费升级股票A,8.0,1.275,3.67,16.026,4.1,33.071747612312095
005894,华夏优势精选股票,8.0,0.955,4.631,16.14,3.319,33.04448634124332
005569,中融智选红利股票A,8.4,1.515,6.434,13.215,3.46,33.02366688133243
004450,嘉实前沿科技沪港深股票,7.0,1.648,8.148,10.42,5.684,32.89937596616896
001974,景顺长城量化新动力股票,8.0,1.968,6.002,12.533,4.285,32.78831259499857
002229,华夏经济转型股票,7.2,1.753,7.488,10.539,5.732,32.71201106486639
110022,易方达消费行业股票,6.4,1.862,7.857,10.019,6.573,32.71087528006405
002210,创金合信量化多因子股票A,8.2,1.72,6.414,12.673,3.661,32.66834359543098
006693,金信消费升级股票C,8.0,1.252,3.67,15.891,3.822,32.63580485367754
005570,中融智选红利股票C,8.4,1.49,6.435,13.026,3.23,32.581516328939365
540009,汇丰晋信消费红利股票,7.4,2.082,6.444,10.826,5.787,32.53947243877991
003865,创金合信量化多因子股票C,8.2,1.668,6.415,12.412,3.542,32.23673616271889
005189,海富通量化前锋股票A,7.6,1.818,6.408,11.878,4.528,32.23135239020503
006502,财通集成电路产业股票A,7.6,1.04,4.379,15.361,3.792,32.171651243652974
005188,海富通量化前锋股票C,7.6,1.813,6.41,11.838,4.493,32.15463073447897
001048,富国新兴产业股票,7.6,1.53,7.541,12.185,3.292,32.14928114203714
000697,汇添富移动互联股票,7.4,1.615,8.056,10.814,4.092,31.977830964042386
001291,大摩量化多策略股票,7.4,1.862,6.666,12.177,3.832,31.936561696905137
000628,大成高新技术产业股票A,7.0,2.478,5.537,11.257,5.661,31.931953479802587
000761,国富健康优质生活股票,7.0,2.108,6.342,11.741,4.732,31.92300882349759
001521,国寿安保成长优选股票,7.2,1.552,7.508,11.776,3.77,31.807345930039123
